# Downloaded from https://wordletools.azurewebsites.net/weightedbottles?SortOrder=ByWeight&submit=Submit

# List in alphabetical order 

Word 	Weight
FINER 	58%
FIRST 	58%
FISHY 	58%
FIXER 	58%
FIZZY 	58%
FLAIL 	58%
FLAIR 	58%
FLAKE 	58%
FLAKY 	58%
FLAME 	58%
FLANK 	58%
FLARE 	58%
FLASH 	58%
FLASK 	58%
FLEET 	58%
FLESH 	58%
FLICK 	58%
FLIER 	58%
FLING 	58%
FLIRT 	58%
FLOAT 	58%
FLOCK 	58%
FLOOD 	58%
FLOOR 	58%
FLORA 	58%
FLOSS 	58%
FLOUR 	58%
FLOUT 	58%
FLOWN 	58%
FLUFF 	58%
FLUID 	58%
FLUKE 	58%
FLUNG 	58%
FLUNK 	58%
FLUSH 	58%
FLUTE 	58%
FLYER 	58%
FOAMY 	58%
FOCAL 	58%
FOCUS 	58%
FOGGY 	58%
FOLKY 	58%
FOLLY 	58%
FORAY 	58%
FORCE 	58%
FORGE 	58%
FORGO 	58%
FORTE 	58%
FORTH 	58%
FORTY 	58%
FORUM 	58%
FOUND 	58%
FOYER 	58%
FRAIL 	58%
FRAME 	58%
FRANC 	58%
FRANK 	58%
FRAUD 	58%
FREAK 	58%
FREED 	58%
FREER 	58%
FRESH 	58%
FRIED 	58%
FRISK 	58%
FROCK 	58%
FRONT 	58%
FROST 	58%
FROTH 	58%
FROWN 	58%
FROZE 	58%
FRUIT 	58%
FRYER 	58%
FUDGE 	58%
FUGUE 	58%
FULLY 	58%
FUNGI 	58%
FUNKY 	58%
FUNNY 	58%
FUROR 	58%
FURRY 	58%
FUSSY 	58%
FUSTY 	58%
FUTON 	58%
FUZZY 	58%
GAFFE 	58%
GAMER 	58%
GAMUT 	58%
GATED 	58%
GATOR 	58%
GAUDY 	58%
GAUGE 	58%
GAUNT 	58%
GAUZE 	58%
GAUZY 	58%
GAVEL 	58%
GAWKY 	58%
GEEKY 	58%
GEESE 	58%
GENIE 	58%
GENRE 	58%
GENUS 	58%
GHOST 	58%
GIANT 	58%
GIDDY 	58%
GIRLY 	58%
GIRTH 	58%
GIVEN 	58%
GIVER 	58%
GIZMO 	58%
GLAND 	58%
GLARE 	58%
GLASS 	58%
GLAZE 	58%
GLEAM 	58%
GLEAN 	58%
GLIDE 	58%
GLINT 	58%
GLITZ 	58%
GLOAT 	58%
GLOBE 	58%
GLOOM 	58%
GLORY 	58%
GLOSS 	58%
GLOVE 	58%
GNOME 	58%
GOING 	58%
GONNA 	58%
GONZO 	58%
GOODY 	58%
GOOEY 	58%
GOOFY 	58%
GOOSE 	58%
GORGE 	58%
GOTTA 	58%
GRACE 	58%
GRADE 	58%
GRAFT 	58%
GRAIL 	58%
GRAIN 	58%
GRAND 	58%
GRANT 	58%
GRAPE 	58%
GRAPH 	58%
GRASP 	58%
GRASS 	58%
GRATE 	58%
GRAVE 	58%
GRAVY 	58%
GRAZE 	58%
